Field ID,Field name,Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,ag2a_vs_2b1,ag2a_vs_2b1_other,ag2a_vs_2b2_1,ag2a_vs_2c,ag2a_vs_2c_other,ag2a_vs_2d1,ag2a_04,ag2a_07,ag2a_08,ag2a_08_other,gps_coords,ag3a_02_1,ag3a_02_2,ag3a_02_2_1,ag2a_09,ag2a_vs_08a,ag2a_vs_8b,ag2a_vs_8c
M3,Uduk,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",wJPLc9G7D59,2016-02-03T00:00:00Z,1,,31,1,,22,0,1,,,ztNfhHUsiK4,0.2,,,0.1,L0600703m3,,
M3,Kwabikwaso,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",UYwovny68h,2016-04-27T00:00:00Z,1,,23,1,,23,0,1,,,VzZi6tGyHJ2,0.12,,,0.51,L0401203m3,,
M5,Kiswa Musili,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",4Ltk7eBsFy2,2016-01-12T00:00:00Z,1,,21,1,,21,0,1,,,J7sGVPX3sG,0.15,,,0.9,L0600202M5,,
M4,Forest garden 2,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",K28KewnXpk2,2015-09-04T00:00:00Z,2,,,1,,23,0,2,2,,,0.51,,,,,,
M4,Binyobwa 2,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",i5k7QWkLJw8,2016-02-03T00:00:00Z,1,,41,4,,,0,1,,,3icsLW5EKc8,0.048,,,1.58,L0600602M4,,
M3,Kibira 2,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",fvoTDbKYuW5,2015-10-07T00:00:00Z,1,,23,4,,,0,1,,,NKm94uwxim2,2.0,,,10.21,L0301002M3,,
M4,Potolam,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",x3KJboY4Wn4,2016-02-03T00:00:00Z,1,,34,1,,42,1,2,2,,,3.0,,,,,,
M2,Engulu,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",ve5Vid3J3j2,2015-08-16T00:00:00Z,1,,22,1,,22,0,1,,,gLnSo8Bd9N4,0.8,,,0.21,L0300804m2,,
M1,Home garden,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",CLcgNTsm4y7,2015-10-08T00:00:00Z,1,,71a,1,,71a,1,1,,,iJg264uo6,0.01,,,0.66,L0301102M1,,
M2,Papedi,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",jim2m9kx6y4,2015-12-26T00:00:00Z,1,,11,1,,11,2,1,,,yv79N64Xy86,0.026,,,0.47,L0601003M2,,
M2,Ebicholi,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",kAKQZBMLkGA,2016-01-29T00:00:00Z,1,,21,1,,11,0,1,,,pYH7EGHfM4,0.03,,,0.39,L0600603m2,,
M1,Nabusasi,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",Q12jo3rceY8,2015-11-22T00:00:00Z,1,,54,1,,54,0,1,,,KHADQSebX5B,0.008,,,0.1,L0200802M1,,
M1,Ibumbi,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",c8oh3AnL1P,2015-11-21T00:00:00Z,1,,71a,1,,71a,1,1,,,iYa6CS3zbTB,0.015,,,0.14,L0201402M1,,
M4,Kolkech,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",7Yy7Sqs8eRA,2016-02-02T00:00:00Z,1,,42,4,,,0,1,,,H5j2ZCYUxhA,0.03,,,0.3,L0700901m4,,
M4,Waka,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",43ozar7mLV6,2016-01-27T00:00:00Z,1,,54,1,,54,1,1,,,4yrStainC16,0.5,,,0.61,L0300801M4,,
M1,Sikamosi,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",V5nBNdt5Wo9,2016-01-08T00:00:00Z,1,,31,1,,31,0,1,,,j7jxGdCX5F6,0.02,,,0.45,L0201301m1,,
M3,Komolo 2,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",vbnCBWJgn15,2016-07-18T00:00:00Z,1,,13,1,,31,0,1,,,eFgTk69sLW8,0.06,1.0,1,0.3,L0100303M3,,
M3,Nambale,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",5xza3zKCC65,2015-11-21T00:00:00Z,1,,21,4,,,0,1,,,7WkapCGqA23,1.7,,,0.2,L0201102M3,,
M2,Poloalelo,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",QP58gEJbLF8,2016-02-05T00:00:00Z,1,,42,1,,34,0,1,,,8a9Vhq3Ruo3,0.2,,,1.14,L0701201m2,,
M1,Potowelo,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",udreQXLRb29,2016-01-20T00:00:00Z,1,,43,4,,,0,1,,,9xKUh4TpyN2,0.04,,,0.34,L0700102M1,,
M1,Polojakayoti,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",qGGstvM2E46,2016-02-04T00:00:00Z,1,,42,4,,,2,1,,,vZRY6FnMMMB,0.01,,,0.9,L001203M1,,
M2,Bimonde,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",WmaX2iuVse5,2016-04-06T00:00:00Z,1,,23,1,,23,0,1,,,ZnWYM3AQpx7,0.095,,,0.118,L0400302M2,,
M2,Potomapera,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",bT98NEoYxz6,2016-01-16T00:00:00Z,1,,31,1,,31,0,1,,,Hcrq1fooTT6,0.014,,,0.67,L0700802M2,,
M3,Wonesinga,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",QJMME7KeMn,2015-11-21T00:00:00Z,1,,54,1,,54,1,2,2,,,6.0,,,,,,
M3,Butuka Musana,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",GsYbe3Kp9a3,2015-12-30T00:00:00Z,1,,11,1,,11,2,1,,,4ymaDyWqE84,0.2,,,2.18,L0600302M3,,
M3,Gishoka,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",TdHhH26Qsi9,2016-03-22T00:00:00Z,1,,22,1,,31,0,2,1,,,5.0,,,,L0400901m3,,
M3,Garden near power line 2,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",h5hVCQ5GHc2,2015-09-02T00:00:00Z,1,,11,1,,22,0,1,,,2ZwqcbESSW,0.16,,,1.9,L0300603M3,,
M1,Polachonga,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",zVWFb5eAbV7,2016-02-05T00:00:00Z,1,,43,1,,31,1,1,,,H9dwa2bZXz3,0.02,,,0.61,L0700801m1,,
M1,Topu,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",kyXkjdQuZSA,2016-07-24T00:00:00Z,1,,31,1,,21,0,1,,,nFfXYRMbsu4,0.1,2.0,1,0.88,L0100202m1,,
M4,Itok,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",tsxUHiQSdd5,2016-02-08T00:00:00Z,4,,,1,,31,0,2,1,,,3.0,,,,L0700603m4,,
M1,Potoiwikul,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",6L8XQ2ivNNB,2016-02-01T00:00:00Z,1,,13,4,,,0,1,,,NUCWYWiu433,0.12,,,0.81,L0701404M1,,
M6,Katale 2,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",UKqsMYWu6S2,2016-04-06T00:00:00Z,1,,304,1,,304,0,1,,,mhFggHs8PX6,0.97,,,0.47,L0400402M6,,
M2,Etoke,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",L8vM1Pqk5B6,2016-02-03T00:00:00Z,1,,71a,1,,71a,2,1,,,86JQrqAmcW9,0.2,,,0.82,L0601401M2,,
M1,Ango 1,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",yydJpRV8pPB,2016-01-05T00:00:00Z,1,,31,1,,11,0,1,,,1RGLAgiZaH6,0.25,,,0.13,L0200601m1,,
