Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Crop ID,Is Processed,Is Byproduct,ag09_02_1,ag09_03,ag09_03_other,ag09_03_by,ag09_03_by_other,ag09_03_product_name,ag09_04_1,ag09_04_2,ag09_07,ag09_07_2,ag09_05,ag09_06_1,ag09_06_2,ag09_08,ag09_vs_8a,ag09_vs_8b_1,ag09_vs_8b_2,ag09_10,ag09_11
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",L8vM1Pqk5B6,2016-02-03T00:00:00Z,Maize,true,,11,1,,,,,450.0,1,500.0,1,2,,,,2,,,2,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",YTTV9E8N5B7,2016-07-18T00:00:00Z,Maize,true,,11,1,,,,,20.0,1,20.0,1,2,,,,2,,,1,4000.0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",8WWivGcFUz5,2015-07-30T00:00:00Z,Maize,true,,11,1,,,,,30.0,1,50.0,1,2,,,,1,20.0,1,1,10000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",ZbpM6thc1b2,2015-11-22T00:00:00Z,Maize,true,,11,1,,,,,28.0,1,30.0,1,2,,,,1,2.0,1,1,6000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",jim2m9kx6y4,2015-12-26T00:00:00Z,Maize,true,,11,1,,,,,70.0,1,100.0,1,1,30.0,1,9000.0,2,,,1,20000.0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",r8r378XZhzA,2015-08-10T00:00:00Z,Maize,true,,11,1,,,,,38.0,1,40.0,1,2,,,,1,2.0,1,1,1500.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",Zsq7RscRsJA,2015-12-27T00:00:00Z,Maize,true,,11,1,,,,,38.0,1,45.0,1,2,,,,2,,,1,7800.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",4wawPvHomv,2016-03-30T00:00:00Z,Sorghum,true,,13,1,,,,,7.0,1,7.0,1,2,,,,2,,,1,1400.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",xVFJcnicr68,2016-07-18T00:00:00Z,Maize,true,,11,1,,,,,60.0,1,60.0,1,2,,,,2,,,1,12000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",NmseUo1CjBA,2015-12-26T00:00:00Z,Maize,true,,11,1,,,,,80.0,1,100.0,1,2,,,,2,,,1,20000.0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",k6Z9D2Z16q9,2015-10-10T00:00:00Z,Maize,true,,11,1,,,,,30.0,1,60.0,1,2,,,,2,,,1,10000.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",9iKLxLjVu77,2016-04-10T00:00:00Z,Sorghum,true,,13,1,,,,,10.0,1,10.0,1,2,,,,2,,,1,1000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",WMFdhZg7RN5,2015-10-23T00:00:00Z,Maize,true,,11,1,,,,,40.0,1,40.0,1,2,,,,2,,,1,4000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",fUwjdZnv1x2,2016-01-17T00:00:00Z,Maize,true,,11,1,,,,,300.0,1,300.0,1,2,,,,2,,,1,30000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",gVnZfUnJ4V,2016-07-12T00:00:00Z,Cassava,true,,21,1,,,,,200.0,1,200.0,1,2,,,,2,,,1,20000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",8jLMpgU7qmA,2016-01-07T00:00:00Z,Maize,true,,11,1,,,,,58.0,1,60.0,1,2,,,,2,,,1,9000.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",PxqUsT3Kg39,2016-02-05T00:00:00Z,Maize,true,,11,1,,,,,50.0,1,50.0,1,2,,,,2,,,1,5000.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",Kq42xQGSvu4,2016-04-14T00:00:00Z,Maize,true,,11,1,,,,,10.0,1,10.0,1,2,,,,2,,,1,2000.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",EQM92niTjw,2016-02-05T00:00:00Z,Finger Millet,true,,15,1,,,,,150.0,1,150.0,1,2,,,,2,,,1,30000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",Lsy3YMkKGP2,2016-07-23T00:00:00Z,Cassava,true,,21,1,,,,,840.0,1,840.0,1,2,,,,2,,,1,84000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",D3dra7efrt6,2016-07-18T00:00:00Z,Cassava,true,,21,1,,,,,200.0,1,200.0,1,2,,,,2,,,1,40000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",VHVUj6zT8c6,2016-07-17T00:00:00Z,Maize,true,,11,1,,,,,100.0,1,100.0,1,2,,,,2,,,1,20000.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",QP58gEJbLF8,2016-02-05T00:00:00Z,Maize,true,,11,1,,,,,30.0,1,30.0,1,2,,,,2,,,1,3000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",wEEPeGoe7x7,2016-07-31T00:00:00Z,Cassava,true,,21,1,,,,,140.0,1,140.0,1,2,,,,2,,,1,14000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",4Ltk7eBsFy2,2016-01-12T00:00:00Z,Maize,true,,11,1,,,,,42.0,1,50.0,1,2,,,,2,,,1,12000.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",dxNCxyUf9J5,2016-01-14T00:00:00Z,Maize,true,,11,1,,,,,6.0,1,6.0,1,2,,,,2,,,1,600.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",CR6uc2DJjF2,2016-07-23T00:00:00Z,Cassava,true,,21,1,,,,,300.0,1,300.0,1,2,,,,2,,,1,30000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",3csKwZMd8vA,2016-01-06T00:00:00Z,Maize,true,,11,1,,,,,100.0,1,100.0,1,2,,,,2,,,1,1000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",mSfzhnwYib5,2016-07-12T00:00:00Z,Sorghum,true,,13,1,,,,,54.0,1,54.0,1,2,,,,2,,,1,10800.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",Xab6HD3Zh47,2016-01-15T00:00:00Z,Maize,true,,11,1,,,,,120.0,1,150.0,1,2,,,,1,30.0,1,1,40000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",fqBewDc4e89,2016-07-28T00:00:00Z,Cassava,true,,21,1,,,,,120.0,1,120.0,1,2,,,,2,,,1,12000.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",uNqoVbaZpG3,2016-01-19T00:00:00Z,Maize,true,,11,1,,,,,10.0,1,10.0,1,2,,,,2,,,1,1000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",SDoi2yLPd6,2015-10-15T00:00:00Z,Maize,true,,11,1,,,,,95.0,1,100.0,1,2,,,,2,,,1,13500.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",akR9WC1ESX,2016-04-15T00:00:00Z,Maize,true,,11,1,,,,,7.0,1,7.0,1,2,,,,2,,,1,700.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",udreQXLRb29,2016-01-20T00:00:00Z,Maize,true,,11,1,,,,,5.0,1,5.0,1,2,,,,2,,,1,500.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",ome4ka94t7,2016-07-18T00:00:00Z,Cassava,true,,21,1,,,,,150.0,1,150.0,1,2,,,,2,,,1,13000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",f52oa28ri63,2016-01-09T00:00:00Z,Maize,true,,11,1,,,,,270.0,1,300.0,1,2,,,,2,,,1,22500.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",F6gmnrrGL93,2016-07-18T00:00:00Z,Maize,true,,11,1,,,,,360.0,1,360.0,1,2,,,,2,,,1,72000.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",xJ36NSni7X2,2016-04-24T00:00:00Z,Sorghum,true,,13,1,,,,,6.0,1,6.0,1,2,,,,2,,,1,600.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",YXV6xbSxws2,2016-01-28T00:00:00Z,Maize,true,,11,1,,,,,80.0,1,80.0,1,2,,,,2,,,1,10000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",GwMi53segV4,2015-10-20T00:00:00Z,Maize,true,,11,1,,,,,30.0,1,30.0,1,2,,,,2,,,1,6000.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",GPDYh6MvUT3,2016-04-01T00:00:00Z,Sorghum,true,,13,1,,,,,30.0,1,30.0,1,2,,,,2,,,1,6000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",3WbmqA7gbk2,2016-07-13T00:00:00Z,Maize,true,,11,1,,,,,100.0,1,100.0,1,2,,,,2,,,1,20000.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",udreQXLRb29,2016-01-20T00:00:00Z,Finger Millet,true,,15,1,,,,,8.0,1,8.0,1,2,,,,2,,,1,800.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",QybMet9zZh8,2016-01-06T00:00:00Z,Maize,true,,11,1,,,,,75.0,1,100.0,1,2,,,,2,,,1,25000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",kJPFgVkrzr8,2016-02-03T00:00:00Z,Cassava,true,,21,1,,,,,8.0,1,10.0,1,2,,,,2,,,1,3000.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",v29v4CgCb9A,2016-04-07T00:00:00Z,Sorghum,true,,13,1,,,,,20.0,1,20.0,1,2,,,,2,,,1,4000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",5a2WfRTPWS2,2016-01-13T00:00:00Z,Maize,true,,11,1,,,,,70.0,1,80.0,1,2,,,,2,,,1,6400.0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",pfmDHWctSE3,2015-09-11T00:00:00Z,Maize,true,,11,1,,,,,15.0,1,20.0,1,2,,,,2,,,1,4000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",hFv6mHJEwd5,2016-01-28T00:00:00Z,Maize,true,,11,1,,,,,200.0,1,200.0,1,2,,,,2,,,1,25000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",pMDUa1EHvb,2016-01-15T00:00:00Z,Maize,true,,11,1,,,,,150.0,1,200.0,1,2,,,,2,,,1,4000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",mpqcPSFDpCB,2016-02-03T00:00:00Z,Maize,true,,11,1,,,,,55.0,1,60.0,1,2,,,,1,5.0,1,1,10000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",F6gmnrrGL93,2016-07-18T00:00:00Z,Cassava,true,,21,1,,,,,240.0,1,240.0,1,2,,,,2,,,1,24000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",TTKHU3eLS44,2016-07-15T00:00:00Z,Cassava,true,,21,1,,,,,1200.0,1,1200.0,1,2,,,,2,,,1,120000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",vCMe7iY3tJ,2016-07-16T00:00:00Z,Maize,true,,11,1,,,,,45.0,1,45.0,1,2,,,,2,,,1,9000.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",TdHhH26Qsi9,2016-03-22T00:00:00Z,Maize,true,,11,1,,,,,5.0,1,5.0,1,2,,,,2,,,1,1000.0
