Field ID,Season,Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,ag3a_02_1,ag3a_02_2,ag3a_02_3,ag3a_03,ag3a_03_other,ag3a_04,ag3a_05,ag3a_06,ag3a_07,ag3a_08_1,ag3a_08_2,ag3a_09,ag3a_10,ag3a_10_other,ag3a_11,ag3a_11_other,ag3a_12,ag3a_13,ag3a_14,ag3a_14_other,ag3a_15,ag3a_16,ag3f_33_17,ag3a_18,ag3a_18b,ag3a_18b_other,ag3a_18c,ag3a_18c_other,ag3a_19,ag3a_20,ag3a_21,ag3a_22,ag3a_23,ag3a_24,ag3a_24_other,ag3a_25,ag3a_26,ag3a_27,ag3a_28,ag3a_29,ag3a_29_other,ag3a_30,ag3a_31,ag3a_32,ag3a_33,ag3a_34,ag3a_34_other,ag3a_35_1,ag3a_35_2,ag3a_61,ag3a_38_1,ag3a_38_2,ag3a_38_21,ag3a_38_3,ag3a_38_4,ag3a_38_5,ag3a_38_51,ag3a_38_6,ag3a_38_61,ag3a_38_62,ag3a_38_63,ag3a_38_64,ag3a_38_7,ag3a_38_8,ag3a_38_81,ag3a_38_9,fd33_18a_1,fd33_18a_2,fd33_18a_3,fd33_18a_4,fd33_18a_5,fd33_18a_6,fd33_18a_7,fd33_18a_8,fd35_24a_dap,fd35_24a_urea,fd35_24a_tsp,fd35_24a_can,fd35_24a_sa,fd35_24a_npk,fd35_24a_mrp,fd3b3_18a_1,fd3b3_18a_2,fd3b3_18a_3,fd3b3_18a_4,fd3b3_18a_5,fd3b3_18a_6,fd3b3_18a_7,fd3b3_18a_8,fd3b5a_24a_dap,fd3b5a_24a_urea,fd3b5a_24a_tsp,fd3b5a_24a_can,fd3b5a_24a_sa,fd3b5a_24a_npk,fd3b5a_24a_mrp
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",HYK4pqongQ7,2014-09-19T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,120,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",1YyZC8Zyxy7,2014-09-24T00:00:00Z,1.0,1.0,1.0,1,,,90,3,2,,,2,,,,,,0.0,1,,11,1,1,2,,,,,,,,,1,NPK,,100.0,1,179.0,2,,,,,,1,1,,2.5,2,44.0,,10,,110,,4,,210.0,,2,,30.0,,3,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",4TD5PFFKHJ7,2014-09-13T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",zebc4qh1zU8,2014-08-29T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",QYtwXPgNBa3,2015-04-15T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",4TD5PFFKHJ7,2014-09-13T00:00:00Z,0.8,0.9,9.0,1,,,21,1,2,,,2,,,,,,60000.0,3,,,1,1,2,,,,,,,,,1,UREA,,150.0,2,165.0,2,,,,,,1,2,,36.0,2,324.0,,40,,,,20,,,,12,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",reM7upJxET6,2014-09-13T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,NPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",W8ZrkDDq8B,2014-09-12T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",ignYVcEWdh6,2014-09-27T00:00:00Z,1.5,0.1,19.1,1,,,24,1,2,,,2,,,,,,0.0,1,,11,1,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,7,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",K7cFANftUD3,2014-09-07T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",XEA6aofdZo5,2015-03-29T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,"L02",cSN6zpcALp9,2014-12-29T00:00:00Z,3.2,0.5,3.4,1,,,12,2,2,,,2,,,,,,99.0,1,,11,1,1,2,,,,,,,,,1,SA,,100.0,2,100.0,2,,,,,,1,2,,3.0,2,51.0,,12,,120,,4,,40.0,,1,,10.0,14,14,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",phfDZ3p9QE5,2014-09-28T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",pdf1PrAkhV,2015-05-15T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",QFh29fHsCvA,2015-04-28T00:00:00Z,1.0,0.2,8.0,1,,,57,1,2,,,2,,,,,,9000.0,1,,1,1,1,2,,,,,,,,,1,NPK,,400.0,2,560.0,2,,,,,,2,,,,,,,,,,,70,,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",aEPhhDYMsKA,2015-02-12T00:00:00Z,2.0,2.0,7.0,1,,,11,1,2,,,2,,,,,,3000.0,2,,,2,1,2,,,,,,,,,2,,,,,,,,,,,,1,2,,3.0,2,36.0,,25,,135,,4,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",vqK89X1n7z7,2014-09-10T00:00:00Z,0.5,0.6,6.5,1,,,21,1,2,,,2,,,,,,,3,,,3,1,2,,,,,,,,,1,DAP,,,,,2,,,,,,1,2,,2.0,2,24.0,,,,,,,,,,,,,6,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",AZbZLMWXXU5,2014-09-03T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",W8ZrkDDq8B,2014-09-12T00:00:00Z,2.4,2.6,9.0,1,,,45,1,2,,,2,,,,,,3500.0,1,,11,1,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,20,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",zAweUkHmCz8,2015-05-26T00:00:00Z,5.0,1.0,5.0,1,,,45,1,2,,,2,,,,,,6000.0,1,,1,1,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",reM7upJxET6,2014-09-13T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,NPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",eaQik5x8C35,2014-09-27T00:00:00Z,1.0,1.0,24.0,1,,,43,1,2,,,2,,,,,,4000.0,1,,1,1,1,2,,,,,,,,,2,,,,,,,,,,,,1,1,,6.0,2,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",KaNq8vjzJV5,2014-08-19T00:00:00Z,1.2,1.3,1.4,1,,,71,1,2,,,2,,,,,,0.0,1,,11,1,1,2,,,,,,,,,2,,,,,,,,,,,,1,2,,3.0,2,45.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",5JcGGbr2Y88,2014-10-05T00:00:00Z,1.6,1.7,12.8,1,,,24,1,2,,,2,,,,,,2000.0,2,,,1,1,2,,,,,,,,,2,,,,,,,,,,,,1,2,,17.0,2,125.0,,19,,190,,24,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",UNJbgF8rDE4,2014-09-25T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,1,2,,4.0,2,90.0,,2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",eze6AQDVxQ4,2014-08-27T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,1,2,,10.0,2,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",uCZDB9k9WmA,2015-04-01T00:00:00Z,0.81,70.0,0.91,1,,,44,1,2,,,2,,,,,,0.0,1,,11,1,1,2,,,,,,,,,2,,,,,,,,,,,,1,2,,4.0,2,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",qaB9PRByhQ7,2014-09-27T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,1,,7.0,,,,,,3,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,"L02",h9yzMoqrEr7,2014-12-17T00:00:00Z,3.0,2.0,7.0,1,,,11,2,2,,,2,,,,,,4000.0,1,,1,1,1,2,,,,,,,,,1,SA,,125.0,2,120.0,2,,,,,,1,2,,6.0,2,42.0,12,42,,220,,40,,200.0,,,,,12,8,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",rfcJhQz5u38,2014-09-02T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",LeYiNjAjKi2,2014-09-07T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,DAP,,50.0,2,200.0,2,,,,,,1,2,,10.0,2,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",qaB9PRByhQ7,2014-09-27T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",hrKn2nuXSs9,2014-09-10T00:00:00Z,1.0,2.5,3.7,1,,,75,1,2,,,2,,,,,,2000.0,3,,,1,1,2,,,,,,,,,1,UREA,,50.0,2,3.0,1,SA,,100.0,2,130.0,1,2,,20.0,2,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",h7GgmuPVUH3,2014-09-08T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",GEgBv7HAf68,2015-02-24T00:00:00Z,0.5,2.5,14.5,1,,,11,2,2,,,2,,,,,,0.0,1,,11,1,1,2,,,,,,,,,1,NPK,,200.0,2,320.0,2,,,,,,2,,,,,,,24,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",Jsv9PkxATh9,2014-09-10T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,NPK,,900.0,,390.0,,,,,,,1,2,,3.0,1,585.0,,10,,380,,15,,200.0,,20,,350.0,,5,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",UmXMMFYwnL4,2014-09-28T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",dSafpBy1bV9,2014-09-02T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",wTASpGRGc38,2015-05-21T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",GPMVX5tyrx4,2014-09-28T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,6,10,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",CTRQQXCQTVB,2014-09-13T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,1,2,,1.0,2,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",AZbZLMWXXU5,2014-09-03T00:00:00Z,3.5,1.5,2.5,1,,,56,1,1,7,,2,,,,,,7000.0,4,,,5,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,12,,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",KaNq8vjzJV5,2014-08-19T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",HYK4pqongQ7,2014-09-19T00:00:00Z,1.0,0.5,12.8,1,,,24,1,2,,,2,,,,,,1000.0,1,,1,1,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,3,,60,,2,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",5rf37agRoT5,2014-08-29T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,1,1,,0.3,2,6.5,,,,,,,,,,,,,,8,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",UmXMMFYwnL4,2014-09-28T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,13,,200,,5,,150.0,,,,,,15,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",XEA6aofdZo5,2015-03-29T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,19,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",rzTsdWdr6y3,2014-08-29T00:00:00Z,3.0,2.0,3.0,1,,,71,1,2,,,2,,,,,,1000.0,1,,1,1,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,1,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",TfTiB3qRvU2,2014-09-23T00:00:00Z,2.0,0.3,19.2,1,,,11,1,2,,,2,,,,,,7000.0,3,,,1,1,2,,,,,,,,,1,DAP,,700.0,2,1680.0,2,,,,,,1,2,,10.0,1,240.0,15,20,,275,,,,,,10,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",LFwa12jnrL2,2015-05-27T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",K7cFANftUD3,2014-09-07T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",LMzw8JsSze,2014-08-31T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",Jsv9PkxATh9,2014-09-10T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",4xFbY5oyU82,2014-09-09T00:00:00Z,720.0,210.0,2.2,1,,,21,1,2,,,2,,,,,,7000.0,3,,,3,1,2,,,,,,,,,2,,,,,,,,,,,,1,2,,1.0,2,20.0,,40,,,,40,,,,1,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",nLAqDVxLW42,2014-09-26T00:00:00Z,0.3,5.0,6.0,1,,,94,1,2,,,2,,,,,,5000.0,1,,11,1,1,2,,,,,,,,,1,NPK,,159.0,2,300.0,1,SA,,150.0,2,270.0,1,1,,6.0,1,42.0,,1,,160,,12,,160.0,,,,,4,,,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",EmjTzkKPcK4,2015-02-09T00:00:00Z,1.0,1.0,5.8,1,,,47,2,2,,,2,,,,,,32000.0,1,,1,1,1,2,,,,,,,,,2,,,,,,,,,,,,1,2,,2.0,2,20.0,,15,,118,,8,,80.0,,1,,20.0,,8,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",7KKdwdFxzG7,2014-09-07T00:00:00Z,12.0,10.0,1.5,1,,,11,2,2,,,2,,,,,,,1,,7,1,1,2,,,,,,,,,1,DAP,,100.0,2,30.0,2,,,,,,1,2,,10.0,2,150.0,,8,,50,,,,,,10,,78.0,8,4,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",oGAiiS5KTH6,2014-09-30T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",tsyzA3E2k36,2014-08-24T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",HJ9K9FonFCA,2014-08-17T00:00:00Z,4.0,4.0,4.0,1,,,56,1,2,,,2,,,,,,6000.0,1,,1,1,1,2,,,,,,,,,2,,,,,,,,,,,,1,1,,3.0,2,78.0,,,,,,,,,,1,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",6rFDY18oMR9,2015-05-27T00:00:00Z,6.4,1.5,6.4,1,,,57,1,2,,,2,,,,,,7000.0,1,,1,1,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,45,,730,,20,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",E3EGXT3BJS5,2014-09-10T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,1,2,,2.0,2,20.0,,4,,,,11,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",7KKdwdFxzG7,2014-09-07T00:00:00Z,10.0,17.0,11.0,1,,,21,2,2,,,2,,,,,,,1,,7,1,1,2,,,,,,,,,2,,,,,,,,,,,,1,2,,5.0,2,75.0,,40,,600,,,,,,10,,78.0,30,66,,1110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,long_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",zebc4qh1zU8,2014-08-29T00:00:00Z,0.8,0.8,0.8,1,,,71,1,1,5,,2,,,,,,1000.0,3,,,1,1,2,,,,,,,,,2,,,,,,,,,,,,1,2,,1.5,2,20.25,,4,,80,,3,,40.0,,1,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",rfcJhQz5u38,2014-09-02T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,short_rainy,GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",PXb5NT8y8n6,2015-02-18T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,NPK,,150.0,2,270.0,1,SA,,100.0,2,150.0,1,1,,3.0,2,27.0,,3,,20,,10,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
