Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Field ID,Season,Crop ID,Crop name,ag4a_01,ag4a_02,ag4a_04,ag4a_05,ag4a_05_other,ag4a_vs_5a,ag4a_vs_5a_day,ag4a_vs_5a_month,ag4a_vs_5a_year,ag4a_06,ag4a_08,ag4a_15,ag4a_15_unit,ag4a_16,ag4a_19,ag4a_21,ag4a_23
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",RfzDYcp8cy2,2015-08-10T00:00:00Z,M1,short_rainy,11,Maize,1,,2,,,2014-06-10,10.0,6.0,2014.0,1,0.8,100.0,1,62500.0,2,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",HWkzcSXQNG2,2014-08-12T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2013-02-14,14.0,2.0,2013.0,2,,,,,1,18000.0,1
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",udWPUwFP172,2014-08-13T00:00:00Z,M1,short_rainy,26,Onions,1,,2,,,2013-03-07,7.0,3.0,2013.0,1,0.4,650.0,,650000.0,1,60000.0,1
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",tWqyJcJmuN5,2014-08-12T00:00:00Z,M1,short_rainy,87,Tomatoes,2,2,1,1,,2012-12-21,21.0,12.0,2012.0,1,0.2,640.0,,120000.0,2,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",ZSL3mumZ4X8,2014-08-12T00:00:00Z,M2,long_rainy,11,Maize,2,2,1,1,,2012-11-06,6.0,11.0,2012.0,1,1.5,900.0,,720000.0,2,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",2JxppdNdy1B,2015-08-11T00:00:00Z,M1,long_rainy,11,Maize,1,,1,1,,2013-11-15,15.0,11.0,2013.0,1,1.9,1340.0,1,201000.0,2,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",MqCGGaKzuz2,2014-08-11T00:00:00Z,M4,long_rainy,12,Paddy,1,,2,,,2013-02-16,16.0,2.0,2013.0,1,1.4,800.0,,240000.0,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",1AHvfwxYcT6,2014-10-03T00:00:00Z,M3,long_rainy,11,Maize,1,,2,,,2013-12-10,10.0,12.0,2013.0,1,5.0,540.0,,135000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",6vK31iR7nAA,2015-09-09T00:00:00Z,M2,long_rainy,42,Sesame/Simsim,1,,2,,,2014-01-05,5.0,1.0,2014.0,1,0.8,200.0,1,400000.0,2,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",Goj6tydZtp2,2014-12-27T00:00:00Z,M2,long_rainy,11,Maize,1,,2,,,2013-12-05,5.0,12.0,2013.0,1,2.3,2550.0,,330000.0,1,50000.0,2
