Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Livestock code,Animal name,ag10a_05_1,ag10a_05_2,ag10a_05_3,ag10a_19,ag10a_20,ag10a_21,ag10a_24,ag10a_25,ag10a_26,ag10a_27,ag10a_33,ag10a_34,ag10a_vs_01,ag10a_vs_02,ag10a_vs_03,ag10a_vs_04
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",pMDUa1EHvb,2016-01-15T00:00:00Z,7,GOATS,20,,0,1,1,65000.0,1,1,0,,2,,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",HWUQqfGSi37,2015-10-27T00:00:00Z,10,CHICKENS,1,,,2,,,1,2,0,,2,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",8WWivGcFUz5,2015-07-30T00:00:00Z,2,COWS,0,0,2,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",VyrUWsmH5zA,2016-07-19T00:00:00Z,7,Goats,3,,0,1,2,90000.0,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",8WWivGcFUz5,2015-07-30T00:00:00Z,1,BULLS,1,0,0,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",9D4NrgAzDH4,2016-01-30T00:00:00Z,15,Dogs,2,,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",2TsiWCE9wU3,2016-01-04T00:00:00Z,1,BULLS,2,0,0,1,2,1000000.0,2,,,,2,,0,10,0,0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",aANwrQbMsa3,2016-07-19T00:00:00Z,10,Chickens,3,0,,1,1,15000.0,1,1,0,,2,,0,0,0,10
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",CR6uc2DJjF2,2016-07-23T00:00:00Z,7,Goats,2,,0,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",SqGfB47Y5q3,2016-07-31T00:00:00Z,1,Bulls,4,0,0,1,600,0.0,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",6knFhJg33R9,2016-03-31T00:00:00Z,8,SHEEP,3,,,1,1,70000.0,2,,,,2,,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",FiycRUoeZh,2016-01-13T00:00:00Z,10,CHICKENS,30,0,,1,20,200000.0,1,3,0,,2,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",oimuabaAoj4,2015-10-13T00:00:00Z,9,PIGS,,5,,1,8,240000.0,2,,,,2,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",mUQGMG1UT55,2015-08-10T00:00:00Z,2,COWS,2,0,0,2,,,2,,,,2,,1,2,0,7
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",Te4C6DJXQq6,2016-07-24T00:00:00Z,10,Chickens,15,0,,1,2,34000.0,1,6,0,,2,,0,0,0,10
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",gVnZfUnJ4V,2016-07-12T00:00:00Z,15,Dogs,1,,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",s1YRqRa7dg5,2015-10-14T00:00:00Z,15,Dogs,1,,,2,,,2,,,,2,,,,,
