Country,Partner Organization,longitude,latitude,Region,District,Landscape #,Household ID,Household head ID,Enumerator ID,Time interview start,Date of interview,Supervisor ID,Questionnaire inspection date,Clerk ID,Data entry date,fr_01,fr2_10,fr_5,ag12b_vs_09a,ag12a_vs_10,ag12a_vs_10_other,End Time,Survey Instrument
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,04,408,"L04",vwWMrLhFgq5,FATY8gxZYZ3,,2000-01-01 14:46:00 UTC,2015-03-09,VXXtPYtHb53,2016-03-12,s8w1kT9jvY7,2016-04-13T00:00:00Z,1,4,1460588793914.jpg,2,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,01,121,"L03",43ozar7mLV6,rYd5cKweYF9,,2000-01-01 11:28:00 UTC,2015-03-19,VXXtPYtHb53,2015-03-20,YFPdkT7Y2y8,2016-01-27T00:00:00Z,1,3,1453899104445.jpg,1,9,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,03,313,"L01",VyrUWsmH5zA,ZtddFSu7oVB,c4KF8BHGJA8,2000-01-01 00:30:00 UTC,2016-05-30,expyhifP6U2,2016-05-30,c4KF8BHGJA8,2016-07-19T00:00:00Z,1,2015,1468898624809.jpg,1,9,,2000-01-01 01:29:00 UTC,paper
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,04,409,"L06",NmseUo1CjBA,pZbB5bpsQt6,,2000-01-01 12:56:00 UTC,2015-08-29,VXXtPYtHb53,2015-12-30,YFPdkT7Y2y8,2015-12-26T00:00:00Z,1,3,1451113798454.jpg,2,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,03,329,"L07",dxNCxyUf9J5,yS2jDT4nUGA,,2000-01-01 02:06:00 UTC,2015-09-21,VXXtPYtHb53,2015-09-21,YFPdkT7Y2y8,2016-01-14T00:00:00Z,1,3,1452841263598.jpg,2,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,02,218,"L02",D3k4R1hEUdA,jg2VaBSGZ2,,2000-01-01 12:00:00 UTC,2015-05-14,VXXtPYtHb53,2015-05-07,s8w1kT9jvY7,2016-01-06T00:00:00Z,1,3,1452112834464.jpg,1,9,,,
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,04,408,"L04",Mc7EjdDK3M3,mHemAjFLr18,,2000-01-01 15:18:00 UTC,2016-03-17,VXXtPYtHb53,2016-03-18,YFPdkT7Y2y8,2016-04-06T00:00:00Z,1,4,1459918663310.jpg,1,10,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,03,313,"L01",TTKHU3eLS44,vin8b7xqFPB,4TSs34S7YSA,2000-01-01 12:11:00 UTC,2016-06-08,expyhifP6U2,2016-06-08,4TSs34S7YSA,2016-07-15T00:00:00Z,1,2015,1468561061601.jpg,1,9,,2000-01-01 13:11:00 UTC,paper
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,04,409,"L06",5a2WfRTPWS2,9bt5MVC2MR2,,2000-01-01 12:44:00 UTC,2015-08-15,VXXtPYtHb53,2015-08-24,YFPdkT7Y2y8,2016-01-13T00:00:00Z,1,3,1452674627168.jpg,1,9,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,03,329,"L07",udreQXLRb29,GDJgUPgr8QB,,2000-01-01 12:27:00 UTC,2015-09-24,VXXtPYtHb53,2015-09-25,YFPdkT7Y2y8,2016-01-20T00:00:00Z,1,3,1453282987735.jpg,1,10,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,03,313,"L01",rR4rphkhyt6,dagAGPbksx5,4TSs34S7YSA,2000-01-01 15:23:00 UTC,2016-05-30,expyhifP6U2,2016-05-31,4TSs34S7YSA,2016-07-14T00:00:00Z,1,2015,1468481770733.jpg,2,,,2000-01-01 16:58:00 UTC,paper
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,01,119,"L03",s1YRqRa7dg5,rgFyd3HMMs,,2000-01-01 12:31:00 UTC,2015-02-13,VXXtPYtHb53,2015-02-14,YFPdkT7Y2y8,2015-10-14T00:00:00Z,1,3,1444808505089.jpg,1,9,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,03,329,"L07",jsuqiyHhZp3,S3AF8GJNTx6,,2000-01-01 22:38:00 UTC,2015-09-29,VXXtPYtHb53,2015-09-30,s8w1kT9jvY7,2016-02-04T00:00:00Z,1,3,1454615443056.jpg,1,10,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,03,313,"L01",vbnCBWJgn15,8kPGiMwK8u7,c4KF8BHGJA8,2000-01-01 23:05:00 UTC,2016-06-01,expyhifP6U2,2016-06-02,c4KF8BHGJA8,2016-07-18T00:00:00Z,1,2015,1468785006713.jpg,2,,,2000-01-01 00:12:00 UTC,paper
