"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Crop.type","Field.ID","Field.name","Crop.ID","Crop.name","ag6a_02","ag6a_05","ag6a_08_1","ag6a_08_2","ag6a_vs_09"
"66","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","zwCpRhKnPo9","2015-05-13T00:00:00Z","permanent","M4","Etwekor 2","57","Rubber",800,2,0,NA,NA
"67","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","CTRQQXCQTVB","2014-09-13T00:00:00Z","permanent","M1","Dankwa 1","21","Cassava",NA,NA,NA,NA,NA
"68","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","56esinYPtWB","2014-10-03T00:00:00Z","fruit","M3","Maize Farm","11","Maize",NA,NA,NA,NA,NA
"69","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","W8ZrkDDq8B","2014-09-12T00:00:00Z","fruit","M2","Topiase 2","45","Coconut",NA,NA,NA,NA,NA
"70","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","rfcJhQz5u38","2014-09-02T00:00:00Z","fruit","M5","Boaman 1","71","Banana",NA,NA,NA,NA,NA
"71","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","LFwa12jnrL2","2015-05-27T00:00:00Z","permanent","M2","Ahazule 2","45","Coconut",600,2,12000,NA,3600
"72","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z","permanent","M5","Nobi 2","56","Cocoa",NA,NA,NA,NA,NA
"73","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","CxMdVRz4Fo","2014-08-21T00:00:00Z","fruit","M4","Kuntenase 4","24","Yams",NA,NA,NA,NA,NA
"74","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","rzTsdWdr6y3","2014-08-29T00:00:00Z","fruit","M2","Yenkyiri 2","56","Cocoa",NA,NA,NA,NA,NA
"75","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","R24vZdb6HQ7","2014-09-07T00:00:00Z","fruit","M3","Abnasah","75","Pineapple",NA,NA,NA,NA,NA
"76","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","ev9j4bGtBTB","2014-09-02T00:00:00Z","permanent","M5","Efiekyeri","71","Banana",NA,NA,NA,NA,NA
"77","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","zebc4qh1zU8","2014-08-29T00:00:00Z","permanent","M1","Akoduo 1","71","Banana",NA,NA,NA,NA,NA
"78","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","3oYDbENAuo","2014-10-05T00:00:00Z","permanent","M1","Kweamu","24","Yams",NA,NA,NA,NA,NA
"79","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","ignYVcEWdh6","2014-09-27T00:00:00Z","fruit","M2","Sreni","24","Yams",NA,NA,NA,NA,NA
"80","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","UNJbgF8rDE4","2014-09-25T00:00:00Z","fruit","M1","Yam farm","24","Yams",NA,NA,NA,NA,NA
"81","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","qaB9PRByhQ7","2014-09-27T00:00:00Z","permanent","M1","Yam Farm","24","Yams",NA,NA,NA,NA,NA
"82","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","56esinYPtWB","2014-10-03T00:00:00Z","fruit","M1","Yam Farm","24","Yams",NA,NA,NA,NA,NA
"83","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z","permanent","M1","Lakeside","76","Orange",10,2,0,NA,0
"84","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","gEi4dQZTGjA","2014-12-29T00:00:00Z","fruit","M2","Kukuo","11","Maize",NA,NA,NA,NA,NA
"85","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","SGWDY8X7yo4","2015-03-29T00:00:00Z","permanent","M4","Efikyere","45","Coconut",6,2,400,NA,300
"86","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","PXb5NT8y8n6","2015-02-18T00:00:00Z","permanent","M1","Moarinipuu","11","Maize",NA,NA,NA,NA,NA
"87","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","5G241XCT6VA","2014-10-02T00:00:00Z","fruit","M2","Enyoam 2","24","Yams",NA,NA,NA,NA,NA
"88","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","fruit","M3","Enyoam 3","24","Yams",NA,NA,NA,NA,NA
"89","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","dWWPvz9La34","2014-10-03T00:00:00Z","fruit","M1","Kwaemu","24","Yams",NA,NA,NA,NA,NA
"90","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","MdadqCNEiL","2014-12-31T00:00:00Z","fruit","M6","Simpuutua 1","11","Maize",NA,NA,NA,NA,NA
"91","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z","fruit","M5","Nobi 2","56","Cocoa",NA,NA,NA,NA,NA
"92","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","ev9j4bGtBTB","2014-09-02T00:00:00Z","permanent","M2","Daa Antwi","21","Cassava",NA,NA,NA,NA,NA
"93","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","7KKdwdFxzG7","2014-09-07T00:00:00Z","permanent","M1","Abuasah","44","Palm Oil",500,2,2400,NA,1800
"94","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","HYK4pqongQ7","2014-09-19T00:00:00Z","fruit","M1","Kwayanu","24","Yams",NA,NA,NA,NA,NA
"95","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","rfcJhQz5u38","2014-09-02T00:00:00Z","permanent","M2","Nkwantia 2","71","Banana",NA,NA,NA,NA,NA
"96","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","permanent","M1","Baani","12","Paddy",NA,NA,NA,NA,NA
"97","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","ymaHgFS7sD7","2014-09-28T00:00:00Z","permanent","M3","Pepper Farm","90","Chilies",NA,NA,NA,NA,NA
"98","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","jCvYgt72fP4","2014-09-12T00:00:00Z","permanent","M2","Kponkpro 1","21","Cassava",NA,NA,NA,NA,NA
"99","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","UUj4sWMqYC3","2014-12-29T00:00:00Z","fruit","M3","Mainfarm","11","Maize",NA,NA,NA,NA,NA
"100","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","3262VdP66d2","2014-09-14T00:00:00Z","fruit","M1","Kwata","44","Palm Oil",230,2,309,NA,3090
"101","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","rzTsdWdr6y3","2014-08-29T00:00:00Z","fruit","M2","Yenkyiri 2","56","Cocoa",NA,NA,NA,NA,NA
"102","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","SGWDY8X7yo4","2015-03-29T00:00:00Z","permanent","M3","Ankasa 3","56","Cocoa",7800,2,1300,NA,3000
"103","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z","fruit","M6","Nsuduaso 3","71","Banana",NA,NA,NA,NA,NA
"104","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","13sx7zZ45L7","2015-02-22T00:00:00Z","fruit","M2","Namangupuu","11","Maize",NA,NA,NA,NA,NA
"105","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","AZbZLMWXXU5","2014-09-03T00:00:00Z","fruit","M3","Tanoso3","56","Cocoa",NA,NA,NA,NA,NA
"106","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","jCvYgt72fP4","2014-09-12T00:00:00Z","fruit","M1","Amaama","44","Palm Oil",NA,NA,NA,NA,NA
"107","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","SGWDY8X7yo4","2015-03-29T00:00:00Z","permanent","M2","Ankasa 2","56","Cocoa",8000,2,1300,NA,3000
"108","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","CTRQQXCQTVB","2014-09-15T00:00:00Z","fruit","M1","Kwashiena no","21","Cassava",NA,NA,NA,NA,NA
"109","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","U7thyS2zJj8","2015-04-15T00:00:00Z","fruit","M1","Poketi","45","Coconut",NA,NA,NA,NA,NA
"110","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","uF4YRcniT69","2015-04-15T00:00:00Z","fruit","M3","Ward 4 - 3","11","Maize",NA,NA,NA,NA,NA
"111","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","QYtwXPgNBa3","2015-04-15T00:00:00Z","fruit","M3","Ahunyame 2","21","Cassava",NA,NA,NA,NA,NA
"112","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","GPMVX5tyrx4","2014-09-28T00:00:00Z","permanent","M1","Paaso 1","24","Yams",NA,NA,NA,NA,NA
"113","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","5G241XCT6VA","2014-09-23T00:00:00Z","fruit","M4","Sreso 4","43","Groundnut",NA,NA,NA,NA,NA
"114","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","permanent","M1","Enyoam 1","24","Yams",NA,NA,NA,NA,NA
"115","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","uCZDB9k9WmA","2015-04-01T00:00:00Z","fruit","M4","Evila 2","56","Cocoa",NA,NA,NA,NA,NA
"116","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","wTASpGRGc38","2015-05-21T00:00:00Z","permanent","M1","Etwekor 1","45","Coconut",600,2,800,NA,1200
"117","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","vz6UQ8NGgEA","2015-02-09T00:00:00Z","fruit","M1","Yiripuu","11","Maize",NA,NA,NA,NA,NA
"118","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wjL1nhwXLP","2014-08-27T00:00:00Z","permanent","M1","Sawua 1","76","Orange",150,2,2000,NA,700
"119","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","nYHDrtr9BkA","2014-09-07T00:00:00Z","fruit","M3","Agbonkwanta","21","Cassava",NA,NA,NA,NA,NA
"120","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","dSafpBy1bV9","2014-09-02T00:00:00Z","fruit","M1","Akwaduo","71","Banana",NA,NA,NA,NA,NA
"121","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","sSK4YGpVFE3","2015-01-02T00:00:00Z","fruit","M3","Groundnut","43","Groundnut",NA,NA,NA,NA,NA
"122","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","QYtwXPgNBa3","2015-04-15T00:00:00Z","permanent","M1","Anyeho","45","Coconut",350,1,2100,NA,630
"123","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","nYHDrtr9BkA","2014-09-07T00:00:00Z","fruit","M1","Konkon-1",NA,"",NA,NA,NA,NA,NA
