"","Field.ID","Field.name","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","ag2a_vs_2b1","ag2a_vs_2b1_other","ag2a_vs_2b2_1","ag2a_vs_2c","ag2a_vs_2c_other","ag2a_vs_2d1","ag2a_04","ag2a_07","ag2a_08","ag2a_08_other","gps_coords","ag3a_02_1","ag3a_02_2","ag3a_02_2_1","ag2a_09","ag2a_vs_08a","ag2a_vs_8b","ag2a_vs_8c"
"48","M4","Rice farm","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","UUj4sWMqYC3","2014-12-29T00:00:00Z",1,NA,"12","4",NA,NA,2,2,"1","","",NA,60,1,NA,"",NA,NA
"49","M1","Kwatei 1","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","iR5ETCSgpV5","2014-09-10T00:00:00Z",1,NA,"21","1",NA,"21",1,1,"","","2axmoKi6EM5",0.8,26,1,1.9,"L6E7H1",NA,NA
"50","M5","Ohiamadwene 2","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6rFDY18oMR9","2015-05-27T00:00:00Z",1,NA,"21","1",NA,"21",2,1,"","","DbgfzPr6SL9",8,2,2,7,"Patrick 5 Tiko",NA,NA
"51","M4","Weyaayo 4","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","BNLAgvK3aCA","2014-12-17T00:00:00Z",1,NA,"11","4",NA,NA,1,2,"1","","",6,60,1,NA,"",NA,NA
"52","M1","Abuasah","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","7KKdwdFxzG7","2014-09-07T00:00:00Z",1,NA,"44","1",NA,"44",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA
"53","M8","Simpuutua 3","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","MdadqCNEiL","2014-12-31T00:00:00Z",1,NA,"47","4",NA,NA,3,2,"2","","",NA,30,1,NA,"",NA,NA
"54","M2","Gyektuwa2","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","pEa2FhYEyQ2","2014-12-22T00:00:00Z",1,NA,"11","4",NA,NA,2,1,"","","CdGSPRBFLx3",2.2,NA,NA,4.1734,"",NA,NA
"55","M3","Kukuo 2","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z",1,NA,"24","4",NA,NA,2,1,"","","nTSXNayw45A",NA,60,1,0.8713,"",NA,NA
"56","M4","Ashiayesu 2","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","5rf37agRoT5","2014-08-29T00:00:00Z",1,NA,"56","1",NA,"56",3,1,"","","nyq76eCySM3",NA,5,1,1.19,"",NA,NA
"57","M2","Akoduo 2","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","zebc4qh1zU8","2014-08-29T00:00:00Z",1,NA,"71","1",NA,"71",1,1,"","","gC3dw6KUqB5",NA,20,1,0.7389,"",NA,NA
"58","M6","Enyoam 4","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z",1,NA,"11","1",NA,"11",3,1,"","","fqTXGun7cj2",NA,20,1,3.9047,"",NA,NA
"59","M1","Sreso 1","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","5G241XCT6VA","2014-09-23T00:00:00Z",1,NA,"71","1",NA,"71",2,2,"other","Flooded-- Roads to the community were unmotorable at the time of doing the farm measurements","",1,NA,NA,NA,"",NA,NA
"60","M1","Navrongo","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","Ly7CbRbwGm9","2015-05-26T00:00:00Z",1,NA,"56","1",NA,"56",6,1,"","","qKCRA7bysL5",10,4,2,5.0933,"Thomas 1Nz",NA,NA
"61","M2","Kordiabe","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","E3EGXT3BJS5","2014-09-10T00:00:00Z",1,NA,"21","1",NA,"21",3,1,"","","XaMfVsJjLD8",NA,30,1,0.8,"L6E5H2",NA,NA
"62","M1","Kurabi","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z",1,NA,"21","1",NA,"21",10,NA,"","","",45,NA,1,NA,"",NA,NA
"63","M1","Ofaso 1","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","TVHKxGJD4T5","2014-09-12T00:00:00Z",1,NA,"21","1",NA,"21",0,2,"1","","",NA,60,1,NA,"",NA,NA
"64","M3","Azanze","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","FEggU1cWz95","2015-03-29T00:00:00Z",1,NA,"56","1",NA,"56",2,2,"1","","",1.62,30,1,NA,"",NA,NA
"65","M4","Maize Farm","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","ymaHgFS7sD7","2014-09-28T00:00:00Z",1,NA,"11","1",NA,"11",2,1,"","","hVV2Bbe3uEA",0.4,NA,NA,1.4873,"",NA,NA
"66","M1","Sis Akos","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","ev9j4bGtBTB","2014-09-02T00:00:00Z",1,NA,"71","1",NA,"71",1,2,"other","The farm was destoryed as result of sand winning","",0.1,5,1,NA,"",NA,NA
"67","M2","Pebramuanu 1","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","HYK4pqongQ7","2014-09-19T00:00:00Z",1,NA,"21","1",NA,"21",2,1,"","","WZDPrmdo9t4",1,30,1,5.4422,"",NA,NA
"68","M1","Maize Farm","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","fkisAfkhBS2","2014-12-29T00:00:00Z",1,NA,"11","4",NA,NA,2,1,"","","Ze7sRRbfqRB",NA,10,1,4.4105,"",NA,NA
"69","M2","Vagam","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","PXb5NT8y8n6","2015-02-18T00:00:00Z",1,NA,"13","4",NA,NA,1,2,"2","","",2,60,1,NA,"",NA,NA
"70","M1","Maize Farm","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","SAvMdkgq8K4","2014-12-31T00:00:00Z",1,NA,"11","4",NA,NA,2,1,"","","F9sdMWX82Y7",2,NA,NA,3.5054,"",NA,NA
"71","M1","Ofusuakra 1","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","thieXHRj9r7","2014-09-09T00:00:00Z",1,NA,"21","1",NA,"21",2,1,"","","DADB3NC5Yo",NA,NA,NA,0.3,"",NA,NA
"72","M3","Jachie efom","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","eze6AQDVxQ4","2014-08-27T00:00:00Z",1,NA,"56","1",NA,"56",10,1,"","","iBk9MHkL1U7",NA,45,1,7.0167,"",NA,NA
"73","M2","Eshiaso 2","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","WgmUQnWemm7","2014-08-24T00:00:00Z",1,NA,"56","1",NA,"56",1,1,"","","5rgj9dvE1t",2,NA,NA,1.1747,"Enshiaso 2",NA,NA
"74","M2","Maize farm","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","UNJbgF8rDE4","2014-09-25T00:00:00Z",4,NA,NA,"1",NA,"11",3,2,"2","","",4.8,150,1,NA,"",NA,NA
"75","M1","Nelikofe","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","jCvYgt72fP4","2014-09-12T00:00:00Z",1,NA,"45","1",NA,"45",0,2,"","","",NA,6,1,NA,"",NA,NA
"76","M2","Okurase","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","jCvYgt72fP4","2014-09-12T00:00:00Z",1,NA,"11","1",NA,"11",4,NA,"","","",NA,45,1,NA,"",NA,NA
"77","M4","Navrongo 3","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","PpJDFyaTPe6","2015-05-15T00:00:00Z",1,NA,"45","1",NA,"45",35,2,"1","","",12.96,NA,NA,NA,"",NA,NA
"78","M1","Efikyere","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","nMZQwMPqKU4","2015-03-28T00:00:00Z",1,NA,"44","1",NA,"44",1,1,"","","2a1wS7bEXA9",0.1,1,1,0.3136,"Margret",NA,NA
"79","M2","Bokru 2","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","9M4qT2DMJj","2014-08-27T00:00:00Z",1,NA,"44","1",NA,"44",5,1,"","","FYbf36c5Wy6",1.5,NA,NA,5.8,"Bokru 2",NA,NA
