Field ID,Field name,Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,ag2a_vs_2b1,ag2a_vs_2b1_other,ag2a_vs_2b2_1,ag2a_vs_2c,ag2a_vs_2c_other,ag2a_vs_2d1,ag2a_04,ag2a_07,ag2a_08,ag2a_08_other,gps_coords,ag3a_02_1,ag3a_02_2,ag3a_02_2_1,ag2a_09,ag2a_vs_08a,ag2a_vs_8b,ag2a_vs_8c
M1,Nyumbani,TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ktUuHHCU1Q5,2015-08-05T00:00:00Z,1,,11,4,,,1,1,,,AtENL43B6Z,0.01,0.0,1,2.1,M1-lwiva,0,0.0
M2,Shamba la nyumbani,TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",N1YUZvnVaG5,2014-08-12T00:00:00Z,1,,11,4,,,0,1,,,s1GeVJRjr99,0.002,1.0,1,0.6,M2-zaituni,195,1.0
M3,Nyumbani,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",XaYWTVN67N4,2014-12-28T00:00:00Z,1,,11,4,,,0,1,,,HUZGHZHEAj2,0.5,7.0,1,0.6,M3 UPINA,182,1.0
M3,Pembeni,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",onVKoJG2AfA,2014-12-27T00:00:00Z,4,,,4,,,1,1,,,iunEuBKgk3,2.7,41.0,1,1.4,M3 SUMUNI,400,1.0
M2,Juu,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",9uri5wypzL4,2015-12-09T00:00:00Z,1,,12,4,,,2,1,,,GPEvNdJ75G5,2.5,40.0,1,0.4,M2 MBWANA,225,1.0
M2,Darajani mgambalenga,TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",vvfZmP19Kx,2014-08-13T00:00:00Z,1,,26,1,,26,1,1,,,g7DA9tgiM27,0.5,5.0,1,0.8,M2 Ngovele,249,1.0
M1,Ibumila,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",yE1Xsrhzmk8,2014-10-09T00:00:00Z,1,,12,4,,,2,1,,,UrmboeMfi38,5.8,32.0,1,2.1,M1-chaula,372,1.0
M3,Shamba la nyamatolola,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",G8pqkT9RvZB,2015-01-15T00:00:00Z,1,,12,4,,,5,1,,,Z3NHYqbZ1c2,7.0,2.0,2,4.9,M3 IGEMBE,735,1.0
M2,Mchabule Juu,TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ZC9BxGQiLT8,2015-08-31T00:00:00Z,1,,11,4,,,1,1,,,3R7Zzik8dXA,3.1,38.0,1,1.3,M2 MTITU,342,1.0
M1,Shamba la bondeni,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",wtdrsEsEBX2,2014-09-28T00:00:00Z,1,,11,4,,,1,1,,,nMe1VwGnzF3,0.3,3.0,1,1.7,M1 DAUDI,336,1.0
M3,Nyamlowo,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",RbeUER44T9B,2014-09-28T00:00:00Z,1,,11,4,,,4,1,,,erq6Q2uBaL5,0.7,7.0,1,4.8,M3 MUNGULU,759,1.0
M1,Nyaluanga,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",ZbDwCBkG2A5,2014-10-03T00:00:00Z,1,,12,4,,,1,1,,,gwoaP2iGEg5,3.2,3.0,2,1.4,M1-dudu,320,1.0
M1,Shamba la nyumbani,TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",VpdWTmuL8k8,2014-08-13T00:00:00Z,1,,11,4,,,1,1,,,BTjuk9JzSW3,0.3,3.0,1,0.5,M1 Ndenga,208,1.0
M2,Shamba la ng'ambo,TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",ziHZfbph8gA,2014-08-12T00:00:00Z,1,,12,4,,,1,1,,,TbvmLwh6JR9,1.5,15.0,1,1.0,M2 Maonyesho,267,1.0
M1,Magwalisi,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",iRjEJTUQTW4,2014-09-27T00:00:00Z,1,,12,4,,,3,1,,,oMv3CXay6E5,10.0,7.0,2,2.4,M1-Mtemi,404,1.0
