"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Season","Crop.ID","Crop.name","ag5a_01","ag5a_02_1","ag5a_02_2","ag5a_03","ag5a_12_1","ag5a_20","ag5a_21","ag5a_21_other","ag5a_22","ag5a_24","ag5a_24_other","ag5a_25","ag5a_26"
"86","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","tsyzA3E2k36","2014-08-24T00:00:00Z","short_rainy","44","",1,270,NA,300,"2012-12-01",2,"","",NA,"2","",NA,NA
"87","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","qie8QYVB3s6","2014-08-28T00:00:00Z","short_rainy","71","",2,NA,NA,NA,"",2,"","",NA,"2","",NA,NA
"88","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","NZwEq9cA5VB","2014-12-17T00:00:00Z","long_rainy","43","Groundnut",1,200,NA,1200,"2014-07-01",2,"","",NA,"2","",NA,NA
"89","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","ymaHgFS7sD7","2014-09-28T00:00:00Z","short_rainy","24","",2,NA,NA,NA,"",2,"","",NA,"","",NA,NA
"90","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","3oYDbENAuo","2014-10-05T00:00:00Z","long_rainy","11","Maize",2,NA,NA,NA,"",1,"5b","",1,"2","",NA,NA
"91","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","5G241XCT6VA","2014-10-02T00:00:00Z","long_rainy","11","Maize",1,1125,NA,3000,"2013-06-01",2,"","",NA,"2","",NA,NA
"92","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","arUegScQDF9","2014-12-31T00:00:00Z","long_rainy","11","Maize",2,NA,NA,NA,"",2,"","",NA,"2","",NA,NA
"93","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","v5AnXEEYcG3","2014-09-03T00:00:00Z","long_rainy","21","Cassava",1,1000,NA,600,"2014-03-01",1,"1","",1,"2","",NA,NA
"94","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","hy4613HYBr3","2015-02-04T00:00:00Z","long_rainy","15","Finger Millet",2,NA,NA,NA,"",2,"","",NA,"2","",NA,NA
"95","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","QFh29fHsCvA","2015-04-28T00:00:00Z","long_rainy","56","Cocoa",1,2345,NA,7175,"2013-08-01",2,"","",NA,"2","",NA,NA
"96","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","qaB9PRByhQ7","2014-09-27T00:00:00Z","long_rainy","24","Yams",1,250,NA,700,"2013-12-01",1,"other","Delayed",1,"1","",NA,NA
"97","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","wTASpGRGc38","2015-05-21T00:00:00Z","long_rainy","44","Palm Oil",1,200,NA,4000,"2014-04-01",2,"","",NA,"2","",NA,NA
"98","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","TVHKxGJD4T5","2014-09-12T00:00:00Z","long_rainy","21","Cassava",2,NA,NA,NA,"",NA,"","",NA,"1","",NA,NA
"99","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","tcEkwscfpH4","2014-12-22T00:00:00Z","long_rainy","11","Maize",2,NA,NA,NA,"",2,"","",NA,"2","",NA,NA
"100","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","aEPhhDYMsKA","2015-02-12T00:00:00Z","long_rainy","11","Maize",1,250,NA,300,"2014-03-01",2,"","",NA,"2","",NA,NA
"101","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","GDXUCUdQZB6","2014-09-25T00:00:00Z","long_rainy","90","Chilies",1,120,NA,80,"2013-10-01",2,"","",NA,"2","",NA,NA
"102","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","2w6GUTeKDd","2014-09-28T00:00:00Z","long_rainy","11","Maize",1,112.5,NA,150,"2013-12-01",2,"","",NA,"2","",NA,NA
"103","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","jCvYgt72fP4","2014-09-12T00:00:00Z","short_rainy","21","",NA,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"104","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","5G241XCT6VA","2014-10-02T00:00:00Z","short_rainy","11","",1,855,NA,2280,"2013-11-01",2,"","",NA,"2","",NA,NA
"105","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z","long_rainy","71","Banana",1,300,NA,3200,"2013-01-01",NA,"","",NA,"","",NA,NA
"106","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","FcfWcnPR1A6","2015-02-16T00:00:00Z","long_rainy","11","Maize",2,NA,NA,NA,"",1,"1","",2,"2","",NA,NA
"107","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","SGWDY8X7yo4","2015-03-29T00:00:00Z","long_rainy","21","Cassava",2,NA,NA,NA,"",2,"","",NA,"2","",NA,NA
"108","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","fkisAfkhBS2","2014-12-29T00:00:00Z","long_rainy","11","Maize",1,5,NA,120,"2014-03-01",2,"","",NA,"2","",NA,NA
"109","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","qaB9PRByhQ7","2014-09-27T00:00:00Z","long_rainy","11","Maize",1,280,NA,19600,"2013-11-01",2,"","",NA,"2","",NA,NA
"110","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","JsGWt7k9dz2","2015-04-27T00:00:00Z","short_rainy","90","",1,7,NA,140,"2014-02-01",1,"2","",1,"1","",NA,NA
"111","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","jCvYgt72fP4","2014-09-12T00:00:00Z","long_rainy","44","Palm Oil",1,600,NA,900,"2013-05-01",2,"","",NA,"1","",NA,NA
