"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Field.ID","Field.name","ag10_vs_1","ag10_vs_2","ag10_vs_2_1","ag10_vs_2_2","ag10_vs_2_3","ag10_vs_2_4","ag10_vs_2_5","ag10_vs_2_6","ag10_vs_2_7","ag10_vs_2_8","ag10_vs_2_9","ag10_vs_2_50","ag10_vs_2_51","ag10_vs_2_other","ag10_vs_3","ag10_vs_3_other"
"61","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","E3EGXT3BJS5","2014-09-10T00:00:00Z","M2","Kordiabe",2,"","","","",NA,"","","","","","","","",NA,""
"62","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z","M1","Kurabi",2,"","","","",NA,"","","","","","","","",NA,""
"63","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","TVHKxGJD4T5","2014-09-12T00:00:00Z","M1","Ofaso 1",2,"","","","",NA,"","","","","","","","",NA,""
"64","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","FEggU1cWz95","2015-03-29T00:00:00Z","M3","Azanze",2,"","","","",NA,"","","","","","","","",NA,""
"65","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","ymaHgFS7sD7","2014-09-28T00:00:00Z","M4","Maize Farm",2,"","","","",NA,"","","","","","","","",NA,""
"66","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","ev9j4bGtBTB","2014-09-02T00:00:00Z","M1","Sis Akos",2,"","","","",NA,"","","","","","","","",NA,""
"67","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","HYK4pqongQ7","2014-09-19T00:00:00Z","M2","Pebramuanu 1",2,"","","","",NA,"","","","","","","","",NA,""
"68","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","fkisAfkhBS2","2014-12-29T00:00:00Z","M1","Maize Farm",2,"","","","",NA,"","","","","","","","",NA,""
"69","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","PXb5NT8y8n6","2015-02-18T00:00:00Z","M2","Vagam",1,"1 2 8","t","t","",NA,"","","","t","","","","",1,""
"70","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","SAvMdkgq8K4","2014-12-31T00:00:00Z","M1","Maize Farm",2,"","","","",NA,"","","","","","","","",NA,""
"71","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","thieXHRj9r7","2014-09-09T00:00:00Z","M1","Ofusuakra 1",NA,"","","","",NA,"","","","","","","","",NA,""
"72","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","eze6AQDVxQ4","2014-08-27T00:00:00Z","M3","Jachie efom",2,"","","","",NA,"","","","","","","","",NA,""
"73","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","WgmUQnWemm7","2014-08-24T00:00:00Z","M2","Eshiaso 2",2,"","","","",NA,"","","","","","","","",NA,""
"74","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","UNJbgF8rDE4","2014-09-25T00:00:00Z","M2","Maize farm",2,"","","","",NA,"","","","","","","","",NA,""
"75","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","jCvYgt72fP4","2014-09-12T00:00:00Z","M1","Nelikofe",2,"","","","",NA,"","","","","","","","",NA,""
"76","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","jCvYgt72fP4","2014-09-12T00:00:00Z","M2","Okurase",NA,"","","","",NA,"","","","","","","","",NA,""
"77","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","PpJDFyaTPe6","2015-05-15T00:00:00Z","M4","Navrongo 3",2,"","","","",NA,"","","","","","","","",NA,""
"78","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","nMZQwMPqKU4","2015-03-28T00:00:00Z","M1","Efikyere",2,"","","","",NA,"","","","","","","","",NA,""
"79","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","9M4qT2DMJj","2014-08-27T00:00:00Z","M2","Bokru 2",2,"","","","",NA,"","","","","","","","",NA,""
