"","Country","Partner.Organization","longitude","latitude","Region","District","Landscape..","Household.ID","Household.head.ID","Enumerator.ID","Time.interview.start","Date.of.interview","Supervisor.ID","Questionnaire.inspection.date","Clerk.ID","Data.entry.date","fr_01","fr2_10","fr_5","ag12b_vs_09a","ag12a_vs_10","ag12a_vs_10_other","End.Time","Survey.Instrument"
"40","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,2,9,"L06","W8ZrkDDq8B","KdFVyTcx5GB",NA,NA,NA,"kNZW9z5PqgB","2014-09-12","QwBungHb3H3","2014-09-12T00:00:00Z",1,2,"",1,"5","",NA,NA
"41","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,6,12,"L04","vVmon4etMR7","9MfwTmiFLd5",NA,NA,NA,"oJ7XkQgmjf5","2014-08-22","intxmu8iSK4","2014-08-23T00:00:00Z",1,2,"1408792869498.jpg",2,"","",NA,NA
"42","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","n3hCRp3nTfB","MvsJGncq8f4",NA,NA,NA,"GiqrBSUhcd2","2015-02-10","GAWwuvyzXu6","2015-03-10T00:00:00Z",1,2,"",2,"","",NA,NA
"43","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","tKy51hwqVM2","sjqrdNw3xi8",NA,NA,NA,"xexPKpAgiJ2","2014-12-31","jPsrT9HYaWB","2014-12-31T00:00:00Z",1,NA,"1420025404961.jpg",2,"","",NA,NA
"44","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,3,1,"L06","LeYiNjAjKi2","xt9qRfoV3K9",NA,NA,NA,"kNZW9z5PqgB","2014-09-09","QwBungHb3H3","2014-09-09T00:00:00Z",1,2,"",NA,"","",NA,NA
"45","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,7,18,"L03","UmXMMFYwnL4","bUnkqUZG1J3",NA,NA,NA,"xexPKpAgiJ2","2014-09-28","jPsrT9HYaWB","2014-09-28T00:00:00Z",1,2,"1411935517426.jpg",1,"5","",NA,NA
"46","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,1,1,"L05","Ly7CbRbwGm9","gDxp4CRSk76",NA,NA,NA,"GiqrBSUhcd2","2015-05-26","Nv3qBdibWD5","2015-05-26T00:00:00Z",1,2,"1432647472810.jpg",1,"5","",NA,NA
"47","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,1,1,"L05","uCZDB9k9WmA","ifb3j53Zhi9",NA,NA,NA,"b1NCZnXapeA","2015-04-01","intxmu8iSK4","2015-04-01T00:00:00Z",1,2,"1432823477068.jpg",2,"","",NA,NA
"48","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,1,1,"L05","6o1LRkbmmy9","HH8ykhb5Zi7",NA,NA,NA,"GiqrBSUhcd2","2015-05-21","Nv3qBdibWD5","2015-05-21T00:00:00Z",1,2,"",1,"5","",NA,NA
"49","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","aEPhhDYMsKA","6XvsbmHXPu9",NA,NA,NA,"GiqrBSUhcd2","2015-02-09","GAWwuvyzXu6","2015-02-12T00:00:00Z",1,2,"1426005914475.jpg",2,"","",NA,NA
"50","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,7,18,"L03","3oYDbENAuo","Pz1qhZrUMX9",NA,NA,NA,"fBG8mpPu1V3","2014-10-05","jPsrT9HYaWB","2014-10-05T00:00:00Z",1,2,"1412500533606.jpg",2,"","",NA,NA
"51","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,1,1,"L05","PpJDFyaTPe6","A3Fi7p7XQN",NA,NA,NA,"GiqrBSUhcd2","2015-05-15","jPsrT9HYaWB","2015-05-15T00:00:00Z",1,2,"1431691706570.jpg",1,"5","",NA,NA
"52","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","go6Ch5Km3k7","razgnfA5kz3",NA,NA,NA,"GLjkaGjMaf6","2014-12-16","Nv3qBdibWD5","2014-12-16T00:00:00Z",1,2,"1418728657295.jpg",2,"","",NA,NA
"53","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,5,3,"L06","jCvYgt72fP4","jCdD4EJhC65",NA,NA,NA,"kNZW9z5PqgB","2014-09-12","QwBungHb3H3","2014-09-12T00:00:00Z",1,2,"",2,"","",NA,NA
"54","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","5xb8kqgFVh9","KmwyPAJpyn",NA,NA,NA,"GiqrBSUhcd2","2015-04-28","jPsrT9HYaWB","2015-04-28T00:00:00Z",1,2,"1430226410260.jpg",2,"","",NA,NA
"55","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,6,12,"L04","AZbZLMWXXU5","",NA,NA,NA,"fBG8mpPu1V3","2014-09-03","jPsrT9HYaWB","2014-09-03T00:00:00Z",1,2,"1409747608197.jpg",1,"other","St. Martins De-Porres Co-Op Credit Union Ltd.",NA,NA
"56","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,2,9,"L06","TVHKxGJD4T5","q378kKe73D9",NA,NA,NA,"uGU4MKgmkX8","2014-09-12","QwBungHb3H3","2014-09-12T00:00:00Z",1,2,"",2,"","",NA,NA
"57","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","dVULAjf4W89","",NA,NA,NA,"","2015-02-04","","2015-03-10T00:00:00Z",1,2,"",2,"","",NA,NA
"58","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,1,1,"L05","FYM9NczMwv9","7GdqCWyji42",NA,NA,NA,"b1NCZnXapeA","2015-03-29","intxmu8iSK4","2015-03-29T00:00:00Z",1,2,"1432820355148.jpg",2,"","",NA,NA
